"Step","_content.switch_step: 2000000 - eval/episode_reward","_content.switch_step: 2000000 - eval/episode_reward__MIN","_content.switch_step: 2000000 - eval/episode_reward__MAX"
"0","69.29811261494955","19.707773208618164","224.72474670410156"
"26","19.707773208618164","19.707773208618164","19.707773208618164"
"5000","86.42404747009277","8.611298561096191","374.7515563964844"
"5025","19.78139305114746","19.78139305114746","19.78139305114746"
"10000","16.58606927735465","5.714419364929199","129.50146484375"
"10025","6.740002155303955","6.740002155303955","6.740002155303955"
"15000","12.148943867002215","4.500277519226074","64.7967529296875"
"15025","4.994226455688477","4.994226455688477","4.994226455688477"
"20000","32.93263414927891","4.115583419799805","360.90057373046875"
"20025","4.517984867095947","4.517984867095947","4.517984867095947"
"25000","464.79457589558194","7.494636058807373","1141.3677978515625"
"25025","711.2098388671875","711.2098388671875","711.2098388671875"
"30000","1155.0199748447963","239.86366271972656","2648.475341796875"
"30025","1071.6361083984375","1071.6361083984375","1071.6361083984375"
"35000","935.7375967843192","261.2980041503906","2002.042724609375"
"35025","910.2003173828125","910.2003173828125","910.2003173828125"
"40000","1171.255135672433","245.87335205078125","2325.22509765625"
"40025","634.183349609375","634.183349609375","634.183349609375"
"45000","1215.6939457484655","444.7199401855469","2673.029296875"
"45025","1908.398681640625","1908.398681640625","1908.398681640625"
"50000","1213.2008612496513","243.2954559326172","2160.33984375"
"50025","2182.29443359375","2182.29443359375","2182.29443359375"
"55000","1067.3447745186943","341.04229736328125","1949.119140625"
"55025","283.5272521972656","283.5272521972656","283.5272521972656"
"60000","1220.5267083304268","52.16831970214844","1978.8294677734375"
"60025","2103.06591796875","2103.06591796875","2103.06591796875"
"65000","1236.8164585658483","749.5172119140625","2074.416015625"
"65025","2764.968505859375","2764.968505859375","2764.968505859375"
"70000","1314.1563868522644","4.33602237701416","2072.857421875"
"70025","1774.6661376953125","1774.6661376953125","1774.6661376953125"
"75000","1596.9813886369977","64.48834228515625","2767.513671875"
"75025","2549.295166015625","2549.295166015625","2549.295166015625"
"80000","1893.7174072265625","634.916259765625","2895.07763671875"
"80025","2709.442138671875","2709.442138671875","2709.442138671875"
"85000","1770.0738307407923","843.090087890625","3282.5693359375"
"85025","2702.857421875","2702.857421875","2702.857421875"
"90000","1636.2298540387835","650.9158325195312","2849.39892578125"
"90025","2419.439697265625","2419.439697265625","2419.439697265625"
"95000","2069.5275442940847","912.871826171875","3004.715576171875"
"95025","2663.089599609375","2663.089599609375","2663.089599609375"
"100000","1582.803281715938","8.937838554382324","2463.550537109375"
"100025","2480.4111328125","2480.4111328125","2480.4111328125"
"105000","1481.0681337629046","67.7447509765625","2419.958740234375"
"105025","2574.926513671875","2574.926513671875","2574.926513671875"
"110000","1910.824916294643","1090.496826171875","2965.26123046875"
"110025","1941.5595703125","1941.5595703125","1941.5595703125"
"115000","1829.1304844447545","687.273193359375","2958.900146484375"
"115025","2538.3330078125","2538.3330078125","2538.3330078125"
"120000","1653.188425881522","81.4444808959961","2756.408935546875"
"120025","2386.447509765625","2386.447509765625","2386.447509765625"
"125000","1638.111262185233","116.23778533935547","3189.705322265625"
"125025","1728.9290771484375","1728.9290771484375","1728.9290771484375"
